link,id,price
https://www.immowelt.de/expose/22j895x,22j895x,179000
https://www.immowelt.de/expose/22sj259,22sj259,660500
https://www.immowelt.de/expose/22wg259,22wg259,665500
https://www.immowelt.de/expose/2zzvm4u,2zzvm4u,125000
https://www.immowelt.de/expose/2zppc4r,2zppc4r,357000
https://www.immowelt.de/expose/2zwb44n,2zwb44n,267500
https://www.immowelt.de/expose/2zmw34n,2zmw34n,251300
https://www.immowelt.de/expose/2zwt34n,2zwt34n,120000
https://www.immowelt.de/expose/2yljp4d,2yljp4d,93000
https://www.immowelt.de/expose/2mk8b4t,2mk8b4t,130000
https://www.immowelt.de/expose/23e6s4r,23e6s4r,185171
https://www.immowelt.de/expose/2f3jk3v,2f3jk3v,89000
https://www.immowelt.de/expose/28lcb54,28lcb54,197500
https://www.immowelt.de/expose/2823b54,2823b54,195000
https://www.immowelt.de/expose/28v4a54,28v4a54,135000
https://www.immowelt.de/expose/28f4654,28f4654,380000
https://www.immowelt.de/expose/28dj554,28dj554,222000
https://www.immowelt.de/expose/28wtz53,28wtz53,104000
https://www.immowelt.de/expose/28xlv53,28xlv53,699000
https://www.immowelt.de/expose/28wlv53,28wlv53,599000
https://www.immowelt.de/expose/282tu53,282tu53,174900
https://www.immowelt.de/expose/28ptq53,28ptq53,320000
https://www.immowelt.de/expose/288dq53,288dq53,149000
https://www.immowelt.de/expose/2838p53,2838p53,379000
https://www.immowelt.de/expose/2892n53,2892n53,155000
https://www.immowelt.de/expose/28zng53,28zng53,403505
https://www.immowelt.de/expose/284zd53,284zd53,130000
https://www.immowelt.de/expose/28vud53,28vud53,120000
https://www.immowelt.de/expose/28jwa53,28jwa53,520000
https://www.immowelt.de/expose/2847953,2847953,200000
https://www.immowelt.de/expose/282v853,282v853,83000
https://www.immowelt.de/expose/28ka653,28ka653,120000
https://www.immowelt.de/expose/28k5z52,28k5z52,479000
https://www.immowelt.de/expose/28kfy52,28kfy52,120000
https://www.immowelt.de/expose/28unx52,28unx52,209000
https://www.immowelt.de/expose/28u2x52,28u2x52,460000
https://www.immowelt.de/expose/286hv52,286hv52,297500
https://www.immowelt.de/expose/28vfr52,28vfr52,175000
https://www.immowelt.de/expose/28lup52,28lup52,225000
https://www.immowelt.de/expose/283gn52,283gn52,338500
https://www.immowelt.de/expose/2865n52,2865n52,129000
https://www.immowelt.de/expose/2845n52,2845n52,188000
https://www.immowelt.de/expose/28b6l52,28b6l52,239000
https://www.immowelt.de/expose/28qm952,28qm952,125000
https://www.immowelt.de/expose/28zm552,28zm552,210000
https://www.immowelt.de/expose/28n8252,28n8252,1400000
https://www.immowelt.de/expose/27c5x5z,27c5x5z,225000
https://www.immowelt.de/expose/27jtw5z,27jtw5z,239500
https://www.immowelt.de/expose/27t5r5z,27t5r5z,549000
https://www.immowelt.de/expose/27v4r5z,27v4r5z,195000
https://www.immowelt.de/expose/27kgp5z,27kgp5z,170000
https://www.immowelt.de/expose/27uxl5z,27uxl5z,370000
